hours-per-week,education,income,count_hours-per-week_education_income
15,10th,>50K,1
75,10th,>50K,1
55,10th,>50K,1
44,10th,>50K,1
70,10th,>50K,1
47,10th,>50K,1
42,10th,>50K,1
90,10th,>50K,1
80,10th,>50K,1
43,10th,>50K,1
46,10th,>50K,1
22,10th,>50K,1
56,10th,>50K,1
65,10th,>50K,1
10,10th,>50K,1
68,10th,>50K,1
22,10th,<=50K,1
7,10th,<=50K,1
21,10th,<=50K,1
49,10th,<=50K,1
29,10th,<=50K,1
90,10th,<=50K,1
58,10th,<=50K,1
41,10th,<=50K,1
47,10th,<=50K,1
3,10th,<=50K,1
26,10th,<=50K,1
31,10th,<=50K,1
99,11th,>50K,1
20,11th,>50K,1
84,11th,>50K,1
55,11th,>50K,1
9,11th,>50K,1
75,11th,>50K,1
2,11th,>50K,1
59,11th,>50K,1
44,11th,>50K,1
43,11th,>50K,1
37,11th,>50K,1
32,11th,>50K,1
36,11th,>50K,1
76,11th,>50K,1
65,11th,>50K,1
29,11th,<=50K,1
33,11th,<=50K,1
54,11th,<=50K,1
51,11th,<=50K,1
41,11th,<=50K,1
1,11th,<=50K,1
90,11th,<=50K,1
88,11th,<=50K,1
31,11th,<=50K,1
2,11th,<=50K,1
55,12th,>50K,1
59,12th,>50K,1
56,12th,>50K,1
84,12th,>50K,1
4,12th,<=50K,1
11,12th,<=50K,1
47,12th,<=50K,1
34,12th,<=50K,1
22,12th,<=50K,1
9,12th,<=50K,1
70,12th,<=50K,1
75,12th,<=50K,1
39,12th,<=50K,1
51,12th,<=50K,1
33,12th,<=50K,1
27,12th,<=50K,1
54,12th,<=50K,1
28,12th,<=50K,1
56,12th,<=50K,1
53,12th,<=50K,1
46,12th,<=50K,1
23,12th,<=50K,1
14,12th,<=50K,1
98,12th,<=50K,1
99,12th,<=50K,1
84,12th,<=50K,1
55,1st-4th,>50K,1
60,1st-4th,>50K,1
56,1st-4th,>50K,1
50,1st-4th,>50K,1
67,1st-4th,>50K,1
10,1st-4th,<=50K,1
85,1st-4th,<=50K,1
4,1st-4th,<=50K,1
37,1st-4th,<=50K,1
16,1st-4th,<=50K,1
96,1st-4th,<=50K,1
22,1st-4th,<=50K,1
54,1st-4th,<=50K,1
5,1st-4th,<=50K,1
44,1st-4th,<=50K,1
54,5th-6th,>50K,1
10,5th-6th,>50K,1
44,5th-6th,>50K,1
45,5th-6th,>50K,1
55,5th-6th,>50K,1
30,5th-6th,>50K,1
67,5th-6th,>50K,1
99,5th-6th,<=50K,1
42,5th-6th,<=50K,1
14,5th-6th,<=50K,1
96,5th-6th,<=50K,1
4,5th-6th,<=50K,1
72,5th-6th,<=50K,1
33,5th-6th,<=50K,1
51,5th-6th,<=50K,1
3,5th-6th,<=50K,1
65,5th-6th,<=50K,1
19,5th-6th,<=50K,1
21,5th-6th,<=50K,1
49,5th-6th,<=50K,1
22,5th-6th,<=50K,1
59,5th-6th,<=50K,1
16,5th-6th,<=50K,1
34,5th-6th,<=50K,1
70,7th-8th,>50K,1
90,7th-8th,>50K,1
72,7th-8th,>50K,1
20,7th-8th,>50K,1
80,7th-8th,>50K,1
45,7th-8th,>50K,1
65,7th-8th,>50K,1
63,7th-8th,>50K,1
29,7th-8th,<=50K,1
27,7th-8th,<=50K,1
18,7th-8th,<=50K,1
78,7th-8th,<=50K,1
28,7th-8th,<=50K,1
58,7th-8th,<=50K,1
49,7th-8th,<=50K,1
66,7th-8th,<=50K,1
64,7th-8th,<=50K,1
85,7th-8th,<=50K,1
23,7th-8th,<=50K,1
91,7th-8th,<=50K,1
43,7th-8th,<=50K,1
54,7th-8th,<=50K,1
26,7th-8th,<=50K,1
65,7th-8th,<=50K,1
53,7th-8th,<=50K,1
32,9th,>50K,1
67,9th,>50K,1
41,9th,>50K,1
43,9th,>50K,1
25,9th,>50K,1
55,9th,>50K,1
37,9th,>50K,1
70,9th,>50K,1
58,9th,>50K,1
96,9th,<=50K,1
18,9th,<=50K,1
4,9th,<=50K,1
27,9th,<=50K,1
8,9th,<=50K,1
21,9th,<=50K,1
47,9th,<=50K,1
80,9th,<=50K,1
1,9th,<=50K,1
34,9th,<=50K,1
11,9th,<=50K,1
99,9th,<=50K,1
75,9th,<=50K,1
26,9th,<=50K,1
33,9th,<=50K,1
2,9th,<=50K,1
31,Assoc-acdm,>50K,1
12,Assoc-acdm,>50K,1
21,Assoc-acdm,>50K,1
33,Assoc-acdm,>50K,1
49,Assoc-acdm,>50K,1
13,Assoc-acdm,>50K,1
75,Assoc-acdm,>50K,1
54,Assoc-acdm,>50K,1
4,Assoc-acdm,>50K,1
52,Assoc-acdm,>50K,1
92,Assoc-acdm,<=50K,1
53,Assoc-acdm,<=50K,1
39,Assoc-acdm,<=50K,1
72,Assoc-acdm,<=50K,1
33,Assoc-acdm,<=50K,1
41,Assoc-acdm,<=50K,1
59,Assoc-acdm,<=50K,1
78,Assoc-acdm,<=50K,1
9,Assoc-acdm,<=50K,1
58,Assoc-acdm,<=50K,1
28,Assoc-acdm,<=50K,1
90,Assoc-acdm,<=50K,1
57,Assoc-acdm,<=50K,1
67,Assoc-acdm,<=50K,1
31,Assoc-acdm,<=50K,1
66,Assoc-acdm,<=50K,1
22,Assoc-acdm,<=50K,1
68,Assoc-acdm,<=50K,1
1,Assoc-acdm,<=50K,1
26,Assoc-acdm,<=50K,1
62,Assoc-acdm,<=50K,1
76,Assoc-voc,>50K,1
27,Assoc-voc,>50K,1
75,Assoc-voc,>50K,1
34,Assoc-voc,>50K,1
9,Assoc-voc,>50K,1
39,Assoc-voc,>50K,1
12,Assoc-voc,>50K,1
37,Assoc-voc,>50K,1
51,Assoc-voc,>50K,1
53,Assoc-voc,>50K,1
84,Assoc-voc,>50K,1
25,Assoc-voc,>50K,1
16,Assoc-voc,>50K,1
7,Assoc-voc,<=50K,1
34,Assoc-voc,<=50K,1
13,Assoc-voc,<=50K,1
47,Assoc-voc,<=50K,1
4,Assoc-voc,<=50K,1
88,Assoc-voc,<=50K,1
2,Assoc-voc,<=50K,1
62,Assoc-voc,<=50K,1
6,Assoc-voc,<=50K,1
14,Assoc-voc,<=50K,1
22,Assoc-voc,<=50K,1
57,Assoc-voc,<=50K,1
76,Assoc-voc,<=50K,1
3,Bachelors,>50K,1
41,Bachelors,>50K,1
34,Bachelors,>50K,1
1,Bachelors,>50K,1
73,Bachelors,>50K,1
18,Bachelors,>50K,1
97,Bachelors,>50K,1
27,Bachelors,>50K,1
33,Bachelors,>50K,1
51,Bachelors,>50K,1
22,Bachelors,>50K,1
62,Bachelors,>50K,1
39,Bachelors,>50K,1
31,Bachelors,<=50K,1
67,Bachelors,<=50K,1
22,Bachelors,<=50K,1
63,Bachelors,<=50K,1
73,Bachelors,<=50K,1
57,Bachelors,<=50K,1
26,Bachelors,<=50K,1
49,Bachelors,<=50K,1
66,Bachelors,<=50K,1
68,Bachelors,<=50K,1
41,Doctorate,>50K,1
16,Doctorate,>50K,1
63,Doctorate,>50K,1
4,Doctorate,>50K,1
90,Doctorate,>50K,1
2,Doctorate,>50K,1
28,Doctorate,>50K,1
1,Doctorate,>50K,1
72,Doctorate,>50K,1
64,Doctorate,>50K,1
57,Doctorate,>50K,1
5,Doctorate,>50K,1
75,Doctorate,>50K,1
48,Doctorate,>50K,1
38,Doctorate,>50K,1
84,Doctorate,>50K,1
10,Doctorate,>50K,1
36,Doctorate,<=50K,1
29,Doctorate,<=50K,1
56,Doctorate,<=50K,1
25,Doctorate,<=50K,1
2,Doctorate,<=50K,1
5,Doctorate,<=50K,1
3,Doctorate,<=50K,1
28,Doctorate,<=50K,1
52,Doctorate,<=50K,1
7,Doctorate,<=50K,1
10,Doctorate,<=50K,1
64,Doctorate,<=50K,1
48,Doctorate,<=50K,1
18,Doctorate,<=50K,1
8,Doctorate,<=50K,1
90,Doctorate,<=50K,1
6,HS-grad,>50K,1
66,HS-grad,>50K,1
86,HS-grad,>50K,1
51,HS-grad,>50K,1
3,HS-grad,>50K,1
69,HS-grad,>50K,1
59,HS-grad,>50K,1
64,HS-grad,>50K,1
7,HS-grad,>50K,1
1,HS-grad,>50K,1
96,HS-grad,>50K,1
22,HS-grad,>50K,1
73,HS-grad,>50K,1
73,HS-grad,<=50K,1
61,HS-grad,<=50K,1
79,HS-grad,<=50K,1
88,HS-grad,<=50K,1
87,HS-grad,<=50K,1
89,HS-grad,<=50K,1
59,HS-grad,<=50K,1
94,HS-grad,<=50K,1
82,HS-grad,<=50K,1
97,HS-grad,<=50K,1
91,HS-grad,<=50K,1
86,HS-grad,<=50K,1
95,HS-grad,<=50K,1
78,Masters,>50K,1
4,Masters,>50K,1
23,Masters,>50K,1
28,Masters,>50K,1
84,Masters,>50K,1
7,Masters,>50K,1
6,Masters,>50K,1
53,Masters,>50K,1
76,Masters,>50K,1
14,Masters,>50K,1
90,Masters,>50K,1
75,Masters,>50K,1
22,Masters,>50K,1
23,Masters,<=50K,1
21,Masters,<=50K,1
26,Masters,<=50K,1
98,Masters,<=50K,1
90,Masters,<=50K,1
13,Masters,<=50K,1
22,Masters,<=50K,1
31,Masters,<=50K,1
17,Masters,<=50K,1
39,Masters,<=50K,1
3,Masters,<=50K,1
19,Masters,<=50K,1
27,Masters,<=50K,1
40,Preschool,>50K,1
16,Preschool,<=50K,1
28,Preschool,<=50K,1
32,Preschool,<=50K,1
48,Preschool,<=50K,1
12,Preschool,<=50K,1
75,Preschool,<=50K,1
72,Preschool,<=50K,1
31,Prof-school,>50K,1
2,Prof-school,>50K,1
46,Prof-school,>50K,1
58,Prof-school,>50K,1
84,Prof-school,>50K,1
85,Prof-school,>50K,1
29,Prof-school,>50K,1
12,Prof-school,>50K,1
63,Prof-school,>50K,1
57,Prof-school,>50K,1
67,Prof-school,>50K,1
34,Prof-school,>50K,1
28,Prof-school,>50K,1
9,Prof-school,>50K,1
24,Prof-school,>50K,1
90,Prof-school,>50K,1
43,Prof-school,>50K,1
15,Prof-school,<=50K,1
85,Prof-school,<=50K,1
2,Prof-school,<=50K,1
43,Prof-school,<=50K,1
39,Prof-school,<=50K,1
6,Prof-school,<=50K,1
36,Prof-school,<=50K,1
12,Prof-school,<=50K,1
28,Prof-school,<=50K,1
5,Prof-school,<=50K,1
13,Prof-school,<=50K,1
3,Prof-school,<=50K,1
66,Prof-school,<=50K,1
86,Some-college,>50K,1
92,Some-college,>50K,1
14,Some-college,>50K,1
17,Some-college,>50K,1
98,Some-college,>50K,1
61,Some-college,>50K,1
5,Some-college,>50K,1
21,Some-college,>50K,1
4,Some-college,>50K,1
95,Some-college,>50K,1
51,Some-college,>50K,1
34,Some-college,>50K,1
3,Some-college,>50K,1
68,Some-college,>50K,1
49,Some-college,>50K,1
59,Some-college,<=50K,1
51,Some-college,<=50K,1
86,Some-college,<=50K,1
88,Some-college,<=50K,1
92,Some-college,<=50K,1
74,Some-college,<=50K,1
78,Some-college,<=50K,1
91,Some-college,<=50K,1
99,10th,>50K,2
75,10th,<=50K,2
64,10th,<=50K,2
2,10th,<=50K,2
84,10th,<=50K,2
33,10th,<=50K,2
17,10th,<=50K,2
11,10th,<=50K,2
39,10th,<=50K,2
23,10th,<=50K,2
34,10th,<=50K,2
52,10th,<=50K,2
30,11th,>50K,2
26,11th,<=50K,2
34,11th,<=50K,2
72,11th,<=50K,2
80,11th,<=50K,2
99,11th,<=50K,2
53,11th,<=50K,2
46,11th,<=50K,2
84,11th,<=50K,2
58,11th,<=50K,2
75,11th,<=50K,2
70,12th,>50K,2
37,12th,<=50K,2
7,12th,<=50K,2
21,12th,<=50K,2
43,12th,<=50K,2
17,12th,<=50K,2
60,1st-4th,<=50K,2
36,1st-4th,<=50K,2
70,1st-4th,<=50K,2
66,1st-4th,<=50K,2
52,1st-4th,<=50K,2
28,1st-4th,<=50K,2
65,1st-4th,<=50K,2
18,1st-4th,<=50K,2
43,1st-4th,<=50K,2
48,1st-4th,<=50K,2
21,1st-4th,<=50K,2
53,1st-4th,<=50K,2
38,1st-4th,<=50K,2
77,1st-4th,<=50K,2
12,1st-4th,<=50K,2
34,1st-4th,<=50K,2
32,1st-4th,<=50K,2
84,5th-6th,>50K,2
50,5th-6th,>50K,2
44,5th-6th,<=50K,2
54,5th-6th,<=50K,2
24,5th-6th,<=50K,2
55,7th-8th,>50K,2
44,7th-8th,>50K,2
48,7th-8th,>50K,2
99,7th-8th,>50K,2
30,7th-8th,>50K,2
31,7th-8th,<=50K,2
7,7th-8th,<=50K,2
14,7th-8th,<=50K,2
47,7th-8th,<=50K,2
84,7th-8th,<=50K,2
19,7th-8th,<=50K,2
41,7th-8th,<=50K,2
33,7th-8th,<=50K,2
48,9th,>50K,2
39,9th,<=50K,2
58,9th,<=50K,2
46,9th,<=50K,2
28,9th,<=50K,2
56,9th,<=50K,2
13,9th,<=50K,2
23,9th,<=50K,2
22,9th,<=50K,2
49,9th,<=50K,2
52,9th,<=50K,2
32,Assoc-acdm,>50K,2
43,Assoc-acdm,>50K,2
72,Assoc-acdm,>50K,2
99,Assoc-acdm,>50K,2
36,Assoc-acdm,>50K,2
16,Assoc-acdm,>50K,2
15,Assoc-acdm,>50K,2
46,Assoc-acdm,>50K,2
2,Assoc-acdm,>50K,2
7,Assoc-acdm,<=50K,2
21,Assoc-acdm,<=50K,2
27,Assoc-acdm,<=50K,2
4,Assoc-acdm,<=50K,2
99,Assoc-voc,>50K,2
72,Assoc-voc,>50K,2
30,Assoc-voc,>50K,2
43,Assoc-voc,>50K,2
54,Assoc-voc,>50K,2
33,Assoc-voc,<=50K,2
98,Assoc-voc,<=50K,2
39,Assoc-voc,<=50K,2
63,Assoc-voc,<=50K,2
53,Assoc-voc,<=50K,2
26,Assoc-voc,<=50K,2
49,Assoc-voc,<=50K,2
12,Assoc-voc,<=50K,2
90,Assoc-voc,<=50K,2
84,Bachelors,>50K,2
6,Bachelors,>50K,2
85,Bachelors,>50K,2
63,Bachelors,>50K,2
17,Bachelors,>50K,2
13,Bachelors,>50K,2
57,Bachelors,>50K,2
4,Bachelors,>50K,2
26,Bachelors,>50K,2
64,Bachelors,>50K,2
66,Bachelors,>50K,2
54,Bachelors,<=50K,2
84,Bachelors,<=50K,2
1,Bachelors,<=50K,2
34,Bachelors,<=50K,2
13,Bachelors,<=50K,2
58,Bachelors,<=50K,2
9,Bachelors,<=50K,2
62,Bachelors,<=50K,2
42,Doctorate,>50K,2
56,Doctorate,>50K,2
46,Doctorate,>50K,2
6,Doctorate,>50K,2
52,Doctorate,>50K,2
24,Doctorate,>50K,2
37,Doctorate,>50K,2
23,Doctorate,<=50K,2
15,Doctorate,<=50K,2
77,Doctorate,<=50K,2
38,Doctorate,<=50K,2
12,Doctorate,<=50K,2
12,HS-grad,>50K,2
68,HS-grad,>50K,2
32,HS-grad,>50K,2
39,HS-grad,>50K,2
2,HS-grad,>50K,2
98,HS-grad,>50K,2
26,HS-grad,>50K,2
78,HS-grad,>50K,2
57,HS-grad,>50K,2
77,HS-grad,<=50K,2
57,HS-grad,<=50K,2
39,Masters,>50K,2
62,Masters,>50K,2
15,Masters,>50K,2
61,Masters,>50K,2
16,Masters,>50K,2
41,Masters,>50K,2
99,Masters,>50K,2
72,Masters,>50K,2
5,Masters,>50K,2
68,Masters,>50K,2
56,Masters,>50K,2
58,Masters,<=50K,2
1,Masters,<=50K,2
54,Masters,<=50K,2
12,Masters,<=50K,2
28,Masters,<=50K,2
11,Masters,<=50K,2
2,Masters,<=50K,2
66,Masters,<=50K,2
72,Masters,<=50K,2
38,Preschool,<=50K,2
60,Preschool,<=50K,2
15,Preschool,<=50K,2
10,Preschool,<=50K,2
24,Preschool,<=50K,2
5,Prof-school,>50K,2
47,Prof-school,>50K,2
15,Prof-school,>50K,2
44,Prof-school,>50K,2
37,Prof-school,>50K,2
72,Prof-school,>50K,2
20,Prof-school,>50K,2
39,Prof-school,>50K,2
90,Prof-school,<=50K,2
8,Prof-school,<=50K,2
32,Prof-school,<=50K,2
24,Prof-school,<=50K,2
72,Prof-school,<=50K,2
64,Some-college,>50K,2
89,Some-college,>50K,2
74,Some-college,>50K,2
39,Some-college,>50K,2
57,Some-college,>50K,2
62,Some-college,>50K,2
62,Some-college,<=50K,2
19,Some-college,<=50K,2
30,10th,>50K,3
35,10th,>50K,3
44,10th,<=50K,3
43,10th,<=50K,3
27,10th,<=50K,3
42,10th,<=50K,3
1,10th,<=50K,3
35,11th,>50K,3
48,11th,>50K,3
56,11th,<=50K,3
21,11th,<=50K,3
44,11th,<=50K,3
27,11th,<=50K,3
13,11th,<=50K,3
35,12th,>50K,3
44,12th,<=50K,3
36,12th,<=50K,3
42,12th,<=50K,3
6,12th,<=50K,3
52,12th,<=50K,3
40,1st-4th,>50K,3
55,1st-4th,<=50K,3
24,1st-4th,<=50K,3
38,5th-6th,<=50K,3
70,5th-6th,<=50K,3
12,5th-6th,<=50K,3
6,5th-6th,<=50K,3
75,5th-6th,<=50K,3
35,7th-8th,>50K,3
6,7th-8th,<=50K,3
21,7th-8th,<=50K,3
72,7th-8th,<=50K,3
3,7th-8th,<=50K,3
4,7th-8th,<=50K,3
52,7th-8th,<=50K,3
60,9th,>50K,3
54,9th,<=50K,3
84,9th,<=50K,3
65,9th,<=50K,3
6,9th,<=50K,3
9,9th,<=50K,3
36,9th,<=50K,3
65,Assoc-acdm,>50K,3
37,Assoc-acdm,>50K,3
75,Assoc-acdm,<=50K,3
18,Assoc-acdm,<=50K,3
2,Assoc-acdm,<=50K,3
47,Assoc-acdm,<=50K,3
13,Assoc-acdm,<=50K,3
6,Assoc-acdm,<=50K,3
46,Assoc-voc,>50K,3
23,Assoc-voc,<=50K,3
16,Assoc-voc,<=50K,3
41,Assoc-voc,<=50K,3
18,Assoc-voc,<=50K,3
28,Assoc-voc,<=50K,3
3,Assoc-voc,<=50K,3
64,Assoc-voc,<=50K,3
1,Assoc-voc,<=50K,3
84,Assoc-voc,<=50K,3
54,Assoc-voc,<=50K,3
53,Bachelors,>50K,3
5,Bachelors,>50K,3
21,Bachelors,>50K,3
28,Bachelors,>50K,3
58,Bachelors,>50K,3
12,Bachelors,>50K,3
54,Bachelors,>50K,3
77,Bachelors,<=50K,3
53,Bachelors,<=50K,3
17,Bachelors,<=50K,3
23,Bachelors,<=50K,3
90,Bachelors,<=50K,3
14,Bachelors,<=50K,3
32,Doctorate,>50K,3
43,Doctorate,>50K,3
80,Doctorate,<=50K,3
90,HS-grad,>50K,3
58,HS-grad,>50K,3
85,HS-grad,>50K,3
8,HS-grad,>50K,3
28,HS-grad,>50K,3
47,HS-grad,>50K,3
53,HS-grad,>50K,3
31,HS-grad,<=50K,3
63,HS-grad,<=50K,3
81,HS-grad,<=50K,3
25,Masters,>50K,3
18,Masters,>50K,3
33,Masters,>50K,3
5,Masters,<=50K,3
56,Masters,<=50K,3
41,Masters,<=50K,3
4,Masters,<=50K,3
75,Masters,<=50K,3
6,Masters,<=50K,3
36,Preschool,<=50K,3
20,Preschool,<=50K,3
35,Preschool,<=50K,3
32,Prof-school,>50K,3
52,Prof-school,>50K,3
42,Prof-school,>50K,3
10,Prof-school,>50K,3
38,Prof-school,<=50K,3
48,Prof-school,<=50K,3
70,Prof-school,<=50K,3
8,Some-college,>50K,3
16,Some-college,>50K,3
68,Some-college,<=50K,3
98,Some-college,<=50K,3
53,Some-college,<=50K,3
60,10th,>50K,4
14,10th,<=50K,4
37,10th,<=50K,4
56,10th,<=50K,4
70,11th,>50K,4
47,11th,<=50K,4
39,11th,<=50K,4
14,11th,<=50K,4
19,11th,<=50K,4
9,11th,<=50K,4
60,12th,>50K,4
45,12th,>50K,4
50,12th,>50K,4
38,12th,<=50K,4
37,5th-6th,<=50K,4
8,5th-6th,<=50K,4
52,5th-6th,<=50K,4
56,5th-6th,<=50K,4
44,7th-8th,<=50K,4
42,7th-8th,<=50K,4
56,7th-8th,<=50K,4
2,7th-8th,<=50K,4
16,7th-8th,<=50K,4
45,9th,>50K,4
